date,Bitcoin Address_unscaled,Bitcoin Address_monthly,isPartial,scale,Bitcoin Address
2022-02-24,42,64.0,,0.64,26.88
2022-02-25,75,64.0,,0.64,48.0
2022-02-26,69,64.0,,0.64,44.160000000000004
2022-02-27,86,90.0,False,0.9,77.4
2022-02-28,41,90.0,,0.9,36.9
2022-03-01,81,90.0,,0.9,72.9
2022-03-02,100,90.0,,0.9,90.0
2022-03-03,43,90.0,,0.9,38.7
2022-03-04,48,90.0,,0.9,43.2
2022-03-05,48,90.0,,0.9,43.2
2022-03-06,34,72.0,False,0.72,24.48
2022-03-07,38,72.0,,0.72,27.36
2022-03-08,66,72.0,,0.72,47.519999999999996
2022-03-09,55,72.0,,0.72,39.6
2022-03-10,68,72.0,,0.72,48.96
2022-03-11,27,72.0,,0.72,19.439999999999998
2022-03-12,55,72.0,,0.72,39.6
2022-03-13,49,81.0,False,0.81,39.690000000000005
2022-03-14,51,81.0,,0.81,41.31
2022-03-15,52,81.0,,0.81,42.120000000000005
2022-03-16,56,81.0,,0.81,45.36
2022-03-17,79,81.0,,0.81,63.99
2022-03-18,58,81.0,,0.81,46.980000000000004
2022-03-19,42,81.0,,0.81,34.02
2022-03-20,61,76.0,False,0.76,46.36
2022-03-21,26,76.0,,0.76,19.76
2022-03-22,50,76.0,,0.76,38.0
2022-03-23,43,76.0,,0.76,32.68
2022-03-24,37,76.0,,0.76,28.12
2022-03-25,53,76.0,,0.76,40.28
2022-03-26,67,76.0,,0.76,50.92
2022-03-27,80,76.0,False,0.76,60.8
2022-03-28,45,76.0,,0.76,34.2
2022-03-29,43,76.0,,0.76,32.68
2022-03-30,52,76.0,,0.76,39.52
2022-03-31,74,76.0,,0.76,56.24
2022-04-01,54,76.0,,0.76,41.04
2022-04-02,78,76.0,,0.76,59.28
2022-04-03,54,70.0,False,0.7,37.8
2022-04-04,59,70.0,,0.7,41.3
2022-04-05,83,70.0,,0.7,58.099999999999994
2022-04-06,59,70.0,,0.7,41.3
2022-04-07,95,70.0,,0.7,66.5
2022-04-08,81,70.0,,0.7,56.699999999999996
2022-04-09,64,70.0,,0.7,44.8
2022-04-10,94,65.0,False,0.65,61.1
2022-04-11,43,65.0,,0.65,27.95
2022-04-12,91,65.0,,0.65,59.15
2022-04-13,55,65.0,,0.65,35.75
2022-04-14,77,65.0,,0.65,50.050000000000004
2022-04-15,71,65.0,,0.65,46.15
2022-04-16,61,65.0,,0.65,39.65
2022-04-17,37,65.0,False,0.65,24.05
2022-04-18,76,65.0,,0.65,49.4
2022-04-19,93,65.0,,0.65,60.45
2022-04-20,73,65.0,,0.65,47.45
2022-04-21,36,65.0,,0.65,23.400000000000002
2022-04-22,100,65.0,,0.65,65.0
2022-04-23,44,65.0,,0.65,28.6
2022-04-24,71,59.0,False,0.59,41.89
2022-04-25,43,59.0,,0.59,25.369999999999997
2022-04-26,62,59.0,,0.59,36.58
2022-04-27,60,59.0,,0.59,35.4
2022-04-28,63,59.0,,0.59,37.169999999999995
2022-04-29,58,59.0,,0.59,34.22
2022-04-30,72,59.0,,0.59,42.48
2022-05-01,85,58.0,False,0.58,49.3
2022-05-02,43,58.0,,0.58,24.939999999999998
2022-05-03,49,58.0,,0.58,28.419999999999998
2022-05-04,43,58.0,,0.58,24.939999999999998
2022-05-05,40,58.0,,0.58,23.2
2022-05-06,45,58.0,,0.58,26.099999999999998
2022-05-07,50,58.0,,0.58,28.999999999999996
2022-05-08,59,81.0,False,0.81,47.790000000000006
2022-05-09,71,81.0,,0.81,57.510000000000005
2022-05-10,73,81.0,,0.81,59.13
2022-05-11,65,81.0,,0.81,52.650000000000006
2022-05-12,75,81.0,,0.81,60.75000000000001
2022-05-13,50,81.0,,0.81,40.5
2022-05-14,73,81.0,,0.81,59.13
2022-05-15,54,65.0,False,0.65,35.1
2022-05-16,41,65.0,,0.65,26.650000000000002
