date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2022-04-18,57,47.0,,0.47,26.79
2022-04-19,0,47.0,,0.47,0.0
2022-04-20,93,47.0,,0.47,43.71
2022-04-21,75,47.0,,0.47,35.25
2022-04-22,68,47.0,,0.47,31.959999999999997
2022-04-23,87,47.0,,0.47,40.89
2022-04-24,39,39.0,False,0.39,15.21
2022-04-25,32,39.0,,0.39,12.48
2022-04-26,84,39.0,,0.39,32.76
2022-04-27,0,39.0,,0.39,0.0
2022-04-28,0,39.0,,0.39,0.0
2022-04-29,0,39.0,,0.39,0.0
2022-04-30,30,39.0,,0.39,11.700000000000001
2022-05-01,69,35.0,False,0.35,24.15
2022-05-02,26,35.0,,0.35,9.1
2022-05-03,50,35.0,,0.35,17.5
2022-05-04,56,35.0,,0.35,19.599999999999998
2022-05-05,42,35.0,,0.35,14.7
2022-05-06,0,35.0,,0.35,0.0
2022-05-07,63,35.0,,0.35,22.049999999999997
2022-05-08,33,40.0,False,0.4,13.200000000000001
2022-05-09,24,40.0,,0.4,9.600000000000001
2022-05-10,34,40.0,,0.4,13.600000000000001
2022-05-11,50,40.0,,0.4,20.0
2022-05-12,90,40.0,,0.4,36.0
2022-05-13,0,40.0,,0.4,0.0
2022-05-14,100,40.0,,0.4,40.0
2022-05-15,52,47.0,False,0.47,24.439999999999998
2022-05-16,35,47.0,,0.47,16.45
2022-05-17,71,47.0,,0.47,33.37
2022-05-18,47,47.0,,0.47,22.09
2022-05-19,0,47.0,,0.47,0.0
2022-05-20,74,47.0,,0.47,34.78
2022-05-21,0,47.0,,0.47,0.0
2022-05-22,44,43.0,False,0.43,18.919999999999998
2022-05-23,99,43.0,,0.43,42.57
2022-05-24,100,43.0,,0.43,43.0
2022-05-25,37,43.0,,0.43,15.91
2022-05-26,53,43.0,,0.43,22.79
2022-05-27,63,43.0,,0.43,27.09
2022-05-28,86,43.0,,0.43,36.98
2022-05-29,0,32.0,False,0.32,0.0
2022-05-30,31,32.0,,0.32,9.92
2022-05-31,92,32.0,,0.32,29.44
2022-06-01,32,32.0,,0.32,10.24
2022-06-02,40,32.0,,0.32,12.8
2022-06-03,29,32.0,,0.32,9.28
2022-06-04,0,32.0,,0.32,0.0
2022-06-05,36,33.0,False,0.33,11.88
2022-06-06,100,33.0,,0.33,33.0
2022-06-07,49,33.0,,0.33,16.17
2022-06-08,0,33.0,,0.33,0.0
2022-06-09,31,33.0,,0.33,10.23
2022-06-10,70,33.0,,0.33,23.1
2022-06-11,47,33.0,,0.33,15.510000000000002
2022-06-12,41,32.0,False,0.32,13.120000000000001
2022-06-13,46,32.0,,0.32,14.72
2022-06-14,54,32.0,,0.32,17.28
2022-06-15,99,32.0,,0.32,31.68
2022-06-16,55,32.0,,0.32,17.6
2022-06-17,52,32.0,,0.32,16.64
2022-06-18,42,32.0,,0.32,13.44
2022-06-19,46,40.0,False,0.4,18.400000000000002
2022-06-20,38,40.0,,0.4,15.200000000000001
2022-06-21,19,40.0,,0.4,7.6000000000000005
2022-06-22,34,40.0,,0.4,13.600000000000001
2022-06-23,27,40.0,,0.4,10.8
2022-06-24,0,40.0,,0.4,0.0
2022-06-25,28,40.0,,0.4,11.200000000000001
2022-06-26,31,21.0,False,0.21,6.51
2022-06-27,0,21.0,,0.21,0.0
2022-06-28,20,21.0,,0.21,4.2
2022-06-29,36,21.0,,0.21,7.56
2022-06-30,80,21.0,,0.21,16.8
2022-07-01,41,21.0,,0.21,8.61
2022-07-02,0,21.0,,0.21,0.0
2022-07-03,0,28.0,False,0.28,0.0
2022-07-04,0,28.0,,0.28,0.0
2022-07-05,28,28.0,,0.28,7.840000000000001
2022-07-06,39,28.0,,0.28,10.920000000000002
2022-07-07,0,28.0,,0.28,0.0
2022-07-08,0,28.0,,0.28,0.0
2022-07-09,71,28.0,,0.28,19.880000000000003
2022-07-10,31,23.0,False,0.23,7.13
2022-07-11,0,23.0,,0.23,0.0
2022-07-12,31,23.0,,0.23,7.13
2022-07-13,0,23.0,,0.23,0.0
2022-07-14,0,23.0,,0.23,0.0
2022-07-15,67,23.0,,0.23,15.41
2022-07-16,0,23.0,,0.23,0.0
2022-07-17,48,26.0,False,0.26,12.48
2022-07-18,100,26.0,,0.26,26.0
2022-07-19,36,26.0,,0.26,9.36
2022-07-20,0,26.0,,0.26,0.0
2022-07-21,30,26.0,,0.26,7.800000000000001
2022-07-22,96,26.0,,0.26,24.96
2022-07-23,0,26.0,,0.26,0.0
2022-07-24,27,20.0,False,0.2,5.4
2022-07-25,28,20.0,,0.2,5.6000000000000005
2022-07-26,24,20.0,,0.2,4.800000000000001
2022-07-27,45,20.0,,0.2,9.0
2022-07-28,34,20.0,,0.2,6.800000000000001
2022-07-29,0,20.0,,0.2,0.0
2022-07-30,0,20.0,,0.2,0.0
2022-07-31,26,17.0,False,0.17,4.42
2022-08-01,27,17.0,,0.17,4.590000000000001
2022-08-02,19,17.0,,0.17,3.2300000000000004
2022-08-03,16,17.0,,0.17,2.72
2022-08-04,0,17.0,,0.17,0.0
2022-08-05,0,17.0,,0.17,0.0
2022-08-06,0,17.0,,0.17,0.0
2022-08-07,20,25.0,False,0.25,5.0
2022-08-08,19,25.0,,0.25,4.75
2022-08-09,32,25.0,,0.25,8.0
2022-08-10,23,25.0,,0.25,5.75
2022-08-11,30,25.0,,0.25,7.5
2022-08-12,21,25.0,,0.25,5.25
2022-08-13,30,25.0,,0.25,7.5
2022-08-14,37,48.0,False,0.48,17.759999999999998
2022-08-15,0,48.0,,0.48,0.0
2022-08-16,0,48.0,,0.48,0.0
2022-08-17,45,48.0,,0.48,21.599999999999998
2022-08-18,47,48.0,,0.48,22.56
2022-08-19,85,48.0,,0.48,40.8
2022-08-20,66,48.0,,0.48,31.68
2022-08-21,43,67.0,False,0.67,28.810000000000002
2022-08-22,100,67.0,,0.67,67.0
2022-08-23,27,67.0,,0.67,18.09
2022-08-24,41,67.0,,0.67,27.470000000000002
2022-08-25,54,67.0,,0.67,36.18
2022-08-26,56,67.0,,0.67,37.52
2022-08-27,25,67.0,,0.67,16.75
