date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2022-03-21,52,28.0,,0.28,14.560000000000002
2022-03-22,59,28.0,,0.28,16.520000000000003
2022-03-23,49,28.0,,0.28,13.72
2022-03-24,62,28.0,,0.28,17.360000000000003
2022-03-25,66,28.0,,0.28,18.48
2022-03-26,52,28.0,,0.28,14.560000000000002
2022-03-27,60,30.0,False,0.3,18.0
2022-03-28,84,30.0,,0.3,25.2
2022-03-29,68,30.0,,0.3,20.4
2022-03-30,60,30.0,,0.3,18.0
2022-03-31,56,30.0,,0.3,16.8
2022-04-01,87,30.0,,0.3,26.099999999999998
2022-04-02,75,30.0,,0.3,22.5
2022-04-03,76,27.0,False,0.27,20.520000000000003
2022-04-04,85,27.0,,0.27,22.950000000000003
2022-04-05,78,27.0,,0.27,21.060000000000002
2022-04-06,93,27.0,,0.27,25.110000000000003
2022-04-07,83,27.0,,0.27,22.41
2022-04-08,82,27.0,,0.27,22.14
2022-04-09,72,27.0,,0.27,19.44
2022-04-10,73,26.0,False,0.26,18.98
2022-04-11,100,26.0,,0.26,26.0
2022-04-12,99,26.0,,0.26,25.740000000000002
2022-04-13,82,26.0,,0.26,21.32
2022-04-14,71,26.0,,0.26,18.46
2022-04-15,75,26.0,,0.26,19.5
2022-04-16,67,26.0,,0.26,17.42
2022-04-17,64,24.0,False,0.24,15.36
2022-04-18,87,24.0,,0.24,20.88
2022-04-19,79,24.0,,0.24,18.96
2022-04-20,80,24.0,,0.24,19.2
2022-04-21,76,24.0,,0.24,18.24
2022-04-22,72,24.0,,0.24,17.28
2022-04-23,68,24.0,,0.24,16.32
2022-04-24,68,25.0,False,0.25,17.0
2022-04-25,90,25.0,,0.25,22.5
2022-04-26,91,25.0,,0.25,22.75
2022-04-27,82,25.0,,0.25,20.5
2022-04-28,77,25.0,,0.25,19.25
2022-04-29,81,25.0,,0.25,20.25
2022-04-30,69,25.0,,0.25,17.25
2022-05-01,23,29.0,False,0.29,6.67
2022-05-02,23,29.0,,0.29,6.67
2022-05-03,20,29.0,,0.29,5.8
2022-05-04,22,29.0,,0.29,6.38
