date,BIT_unscaled,BIT_monthly,isPartial,scale,BIT
2022-06-30,88,87.0,,0.87,76.56
2022-07-01,93,87.0,,0.87,80.91
2022-07-02,99,87.0,,0.87,86.13
2022-07-03,96,85.0,False,0.85,81.6
2022-07-04,91,85.0,,0.85,77.35
2022-07-05,91,85.0,,0.85,77.35
2022-07-06,90,85.0,,0.85,76.5
2022-07-07,87,85.0,,0.85,73.95
2022-07-08,90,85.0,,0.85,76.5
2022-07-09,97,85.0,,0.85,82.45
2022-07-10,96,86.0,False,0.86,82.56
2022-07-11,93,86.0,,0.86,79.98
2022-07-12,100,86.0,,0.86,86.0
2022-07-13,100,86.0,,0.86,86.0
2022-07-14,99,86.0,,0.86,85.14
2022-07-15,93,86.0,,0.86,79.98
2022-07-16,99,86.0,,0.86,85.14
2022-07-17,97,92.0,False,0.92,89.24000000000001
2022-07-18,85,92.0,,0.92,78.2
2022-07-19,95,92.0,,0.92,87.4
2022-07-20,96,92.0,,0.92,88.32000000000001
2022-07-21,98,92.0,,0.92,90.16000000000001
2022-07-22,97,92.0,,0.92,89.24000000000001
2022-07-23,98,92.0,,0.92,90.16000000000001
2022-07-24,96,85.0,False,0.85,81.6
2022-07-25,94,85.0,,0.85,79.89999999999999
2022-07-26,90,85.0,,0.85,76.5
2022-07-27,89,85.0,,0.85,75.64999999999999
2022-07-28,87,85.0,,0.85,73.95
2022-07-29,94,85.0,,0.85,79.89999999999999
2022-07-30,92,85.0,,0.85,78.2
2022-07-31,98,87.0,False,0.87,85.26
2022-08-01,93,87.0,,0.87,80.91
2022-08-02,94,87.0,,0.87,81.78
2022-08-03,96,87.0,,0.87,83.52
2022-08-04,95,87.0,,0.87,82.65
2022-08-05,93,87.0,,0.87,80.91
2022-08-06,95,87.0,,0.87,82.65
2022-08-07,98,84.0,False,0.84,82.32
2022-08-08,96,84.0,,0.84,80.64
2022-08-09,95,84.0,,0.84,79.8
2022-08-10,90,84.0,,0.84,75.6
2022-08-11,93,84.0,,0.84,78.11999999999999
2022-08-12,88,84.0,,0.84,73.92
2022-08-13,92,84.0,,0.84,77.28
2022-08-14,100,87.0,False,0.87,87.0
2022-08-15,94,87.0,,0.87,81.78
2022-08-16,95,87.0,,0.87,82.65
2022-08-17,91,87.0,,0.87,79.17
2022-08-18,89,87.0,,0.87,77.42999999999999
2022-08-19,91,87.0,,0.87,79.17
2022-08-20,90,87.0,,0.87,78.3
2022-08-21,91,83.0,False,0.83,75.53
2022-08-22,91,83.0,,0.83,75.53
2022-08-23,92,83.0,,0.83,76.36
2022-08-24,94,83.0,,0.83,78.02
2022-08-25,94,83.0,,0.83,78.02
2022-08-26,100,83.0,,0.83,83.0
2022-08-27,96,83.0,,0.83,79.67999999999999
2022-08-28,97,84.0,False,0.84,81.48
2022-08-29,94,84.0,,0.84,78.96
2022-08-30,94,84.0,,0.84,78.96
2022-08-31,88,84.0,,0.84,73.92
2022-09-01,89,84.0,,0.84,74.75999999999999
2022-09-02,82,84.0,,0.84,68.88
2022-09-03,84,84.0,,0.84,70.56
2022-09-04,93,100.0,False,1.0,93.0
2022-09-05,89,100.0,,1.0,89.0
2022-09-06,88,100.0,,1.0,88.0
2022-09-07,92,100.0,,1.0,92.0
2022-09-08,88,100.0,,1.0,88.0
2022-09-09,86,100.0,,1.0,86.0
2022-09-10,90,100.0,,1.0,90.0
2022-09-11,80,83.0,False,0.83,66.39999999999999
2022-09-12,86,83.0,,0.83,71.38
2022-09-13,93,83.0,,0.83,77.19
2022-09-14,94,83.0,,0.83,78.02
2022-09-15,100,83.0,,0.83,83.0
2022-09-16,88,83.0,,0.83,73.03999999999999
2022-09-17,87,83.0,,0.83,72.21
2022-09-18,84,80.0,False,0.8,67.2
2022-09-19,87,80.0,,0.8,69.60000000000001
2022-09-20,92,80.0,,0.8,73.60000000000001
2022-09-21,90,80.0,,0.8,72.0
2022-09-22,100,80.0,,0.8,80.0
2022-09-23,89,80.0,,0.8,71.2
2022-09-24,85,80.0,,0.8,68.0
2022-09-25,85,83.0,False,0.83,70.55
2022-09-26,86,83.0,,0.83,71.38
2022-09-27,87,83.0,,0.83,72.21
2022-09-28,87,83.0,,0.83,72.21
2022-09-29,83,83.0,,0.83,68.89
2022-09-30,90,83.0,,0.83,74.7
2022-10-01,90,83.0,,0.83,74.7
2022-10-02,80,79.0,False,0.79,63.2
2022-10-03,91,79.0,,0.79,71.89
2022-10-04,90,79.0,,0.79,71.10000000000001
2022-10-05,90,79.0,,0.79,71.10000000000001
2022-10-06,93,79.0,,0.79,73.47
2022-10-07,85,79.0,,0.79,67.15
2022-10-08,95,79.0,,0.79,75.05
2022-10-09,91,82.0,False,0.82,74.61999999999999
2022-10-10,91,82.0,,0.82,74.61999999999999
2022-10-11,89,82.0,,0.82,72.97999999999999
2022-10-12,91,82.0,,0.82,74.61999999999999
2022-10-13,88,82.0,,0.82,72.16
2022-10-14,87,82.0,,0.82,71.33999999999999
2022-10-15,87,82.0,,0.82,71.33999999999999
2022-10-16,85,83.0,False,0.83,70.55
2022-10-17,87,83.0,,0.83,72.21
2022-10-18,90,83.0,,0.83,74.7
2022-10-19,92,83.0,,0.83,76.36
2022-10-20,97,83.0,,0.83,80.50999999999999
2022-10-21,88,83.0,,0.83,73.03999999999999
2022-10-22,88,83.0,,0.83,73.03999999999999
2022-10-23,85,83.0,False,0.83,70.55
2022-10-24,93,83.0,,0.83,77.19
2022-10-25,84,83.0,,0.83,69.72
2022-10-26,94,83.0,,0.83,78.02
2022-10-27,88,83.0,,0.83,73.03999999999999
2022-10-28,82,83.0,,0.83,68.06
2022-10-29,87,83.0,,0.83,72.21
2022-10-30,85,85.0,False,0.85,72.25
2022-10-31,100,85.0,,0.85,85.0
2022-11-01,88,85.0,,0.85,74.8
2022-11-02,86,85.0,,0.85,73.1
2022-11-03,87,85.0,,0.85,73.95
2022-11-04,85,85.0,,0.85,72.25
2022-11-05,85,85.0,,0.85,72.25
2022-11-06,81,76.0,False,0.76,61.56
2022-11-07,83,76.0,,0.76,63.08
2022-11-08,84,76.0,,0.76,63.84
2022-11-09,77,76.0,,0.76,58.52
2022-11-10,86,76.0,,0.76,65.36
2022-11-11,85,76.0,,0.76,64.6
2022-11-12,84,76.0,,0.76,63.84
2022-11-13,92,76.0,False,0.76,69.92
2022-11-14,78,76.0,,0.76,59.28
2022-11-15,85,76.0,,0.76,64.6
2022-11-16,84,76.0,,0.76,63.84
2022-11-17,86,76.0,,0.76,65.36
2022-11-18,85,76.0,,0.76,64.6
2022-11-19,82,76.0,,0.76,62.32
2022-11-20,88,81.0,False,0.81,71.28
2022-11-21,89,81.0,,0.81,72.09
2022-11-22,87,81.0,,0.81,70.47
2022-11-23,79,81.0,,0.81,63.99
2022-11-24,79,81.0,,0.81,63.99
2022-11-25,82,81.0,,0.81,66.42
2022-11-26,83,81.0,,0.81,67.23
2022-11-27,100,87.0,False,0.87,87.0
2022-11-28,85,87.0,,0.87,73.95
2022-11-29,85,87.0,,0.87,73.95
2022-11-30,89,87.0,,0.87,77.42999999999999
2022-12-01,93,87.0,,0.87,80.91
2022-12-02,93,87.0,,0.87,80.91
2022-12-03,94,87.0,,0.87,81.78
2022-12-04,96,86.0,False,0.86,82.56
2022-12-05,92,86.0,,0.86,79.12
2022-12-06,91,86.0,,0.86,78.26
2022-12-07,93,86.0,,0.86,79.98
2022-12-08,92,86.0,,0.86,79.12
2022-12-09,95,86.0,,0.86,81.7
2022-12-10,92,86.0,,0.86,79.12
2022-12-11,95,83.0,False,0.83,78.85
